mpi,send_cr_prep,send_cr,recv_cr,send_l_prep,send_l,recv_l,conv,rad,loc,write,update,total,total_cumm
3.97025,0.138732,0.00206399,0.886976,0.0359828,0.036072,0.509117,1.15315,0.0642779,1.18186,23.5366,29.6687,57.1768,57.1754
6.62356,0.217382,0.00388503,1.01613,0.0746267,0.074693,0.814823,1.99689,0.128639,2.37487,47.0666,36.5379,91.1132,90.2279
8.71946,0.295987,0.00572801,1.19238,0.106491,0.106546,0.986067,2.82761,0.193714,3.11697,70.6676,88.9144,189.903,168.301
10.8352,0.374595,0.00752521,1.36487,0.138546,0.138593,1.17444,3.66276,0.259052,3.86065,94.2304,103.506,230.174,208.572
12.9113,0.453005,0.00933719,1.49287,0.170151,0.17019,1.36421,4.50337,0.323984,4.60338,117.753,117.013,269.279,247.677
15.0063,0.531574,0.0111573,1.62077,0.201955,0.201983,1.57077,5.34483,0.388632,5.34746,141.18,127.509,305.452,283.694
17.0788,0.610167,0.0130014,1.75151,0.23372,0.233738,1.7527,6.18734,0.453331,6.08966,164.813,140.596,344.245,322.487
19.1597,0.688642,0.0148435,1.87961,0.265365,0.265372,1.94009,7.03283,0.518378,6.83437,188.345,152.912,384.345,360.416
21.2202,0.767181,0.0166655,2.00868,0.297143,0.297142,2.1085,7.87614,0.583284,7.57878,211.899,164.26,421.308,397.379
23.3451,0.845612,0.0185053,2.1743,0.328762,0.32875,2.3065,8.71855,0.648261,8.32261,235.539,177.921,460.734,436.805
25.4404,0.923916,0.0203402,2.30487,0.360305,0.360283,2.5082,9.56273,0.71302,9.06678,259.176,189.974,498.52,474.59
27.6238,1.00414,0.0221722,2.52553,0.391944,0.391911,2.70771,10.4057,0.778249,9.80999,282.705,200.024,534.349,510.352
29.7735,1.0826,0.0240064,2.70811,0.423664,0.42362,2.91047,11.2501,0.843092,10.5549,306.752,210.883,571.406,547.408
31.9218,1.16097,0.0258212,2.8971,0.455457,0.455398,3.10808,12.0928,0.90777,11.299,330.43,221.312,607.828,583.663
34.5991,1.23926,0.0276773,3.0328,0.487128,0.487062,3.41016,12.9664,0.972158,12.4905,353.847,289.458,706.768,677.903
37.3736,1.31756,0.0294864,3.22332,0.519112,0.519037,3.75375,13.8397,1.03736,13.6821,377.276,301.353,744.867,716.002
40.1063,1.3999,0.0313673,3.35108,0.550908,0.550823,4.1101,14.7177,1.10271,14.8731,400.508,311.229,781.113,751.842
42.8299,1.47824,0.0331821,3.47884,0.582548,0.582454,4.45868,15.5985,1.16713,16.0652,423.939,321.826,817.865,788.594
